"","company","SER","RND","ROA","Size","Frequency","Industry","Patent"
"182","MEDIC.AT",0.234582880979772,0.0354584763388172,0.0524012069090221,30479.0165,1,"High",79.39925
"183","LAVI.AT",-0.493056738208882,0.0680711026092031,0.0495256856960062,54315.25,1,"High",3732.5
"184","IKTIN.AT",0.397662282477238,0.0157099868615592,0.0777091402999149,91560.80575,1,"Low",2281.2615
"185","BIOKA.AT",0.249022492223167,0.00408579551979783,-0.013696935809674,126279.558,1,"Low",93.337
"186","ALMY.AT",0.147650932818396,0.00657351886909348,-0.0371573646446116,300111.9255,1,"Low",708.57825
"187","GEKTERNA.AT",0.123920998166616,0.00159754960533369,0.00681870812237101,3449223.75,1,"Low",470129.5
"188","TENERGY.AT",0.243675635465481,0.00581009413198624,0.0202240905175018,1477371.75,1,"Low",44732
"189","KYSA.AT",0.170374808679856,0.000371114934324887,-0.0142910611732019,21692.86075,1,"Low",631.65275
"190","KMOL.AT",0.247089437585094,0.000803975663178542,-0.0121588240651691,132525.43925,1,"Low",425.119
"191","ALK-B.CO",0.63796757444103,0.138433195894377,0.0151531206951362,4718500,1,"High",307250
"192","CHR.CO",0.42080579208864,0.0639965720623078,0.117028916474916,1705775,1,"High",208450
"193","COLO-B.CO",0.485156540981092,0.0357455379992405,0.255986679227921,11410750,1,"High",551750
"194","DEMANT.CO",0.435868632498635,0.0682224409053481,0.100975115063578,16023750,1,"High",389500
"195","GN.CO",0.436029939505793,0.0788294442319252,0.0873987491028402,12191250,1,"High",2156500
"196","LUN.CO",0.53273943678679,0.183686850973635,0.0242936110649807,21075500,1,"High",4180750
"197","NOVO-B.CO",0.48176473803738,0.128577681315062,0.371570483672993,100615500,1,"High",3335500
"198","NZYM-B.CO",0.617163177670424,0.131674406378691,0.163955984970478,18630000,1,"High",1370500
"199","OSSR.CO",0.631840461291924,0.0465812374529751,0.0771537912301225,776601.5,1,"High",43708.5
"200","BAVA.CO",0.729750272251529,0.447063175606601,-0.00821270952122184,2756642,1,"High",64175
"201","VELO.CO",0.194762521159016,0.180933323451666,-0.299541383814304,42682.75,1,"High",97
"202","BIOPOR.CO",0.868656535847459,0.652610702906561,-0.448597686647454,57859.75,1,"High",1380.25
"203","SIM.CO",0.561907091077834,0.190680273992836,0.309835202046806,199335,1,"High",10741
"204","BO.CO",0.576139098680388,0.135305537250432,-0.0154120673914848,3012250,1,"High",338150
"205","VWS.CO",0.297737841503585,0.0219629906831497,0.0781825227669056,10322000,1,"Low",567000
"206","ARJO-B.ST",0.580405355425697,0.0165263290184743,0.0223944078704046,13519000,0,"High",1247250
